Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Wang et al. 2008,10.2134/agronj2008.0012,Cowpea used as mulch,NA,NA,NA,NA,NA,NA,Cowpea used as mulch,4,
Wang et al. 2008,10.2134/agronj2008.0012,Integrated crop management,NA,NA,NA,NA,NA,NA,Integrated crop management,5,
Wang et al. 2008,10.2134/agronj2008.0012,Organic management,NA,NA,NA,NA,NA,NA,Organic management,6,
Wang et al. 2008,10.2134/agronj2008.0012,Sudangrass incorporated,NA,NA,NA,NA,NA,NA,Sudangrass incorporated,7,
Wang et al. 2008,10.1016/j.geoderma.2008.01.003,No till,Straw cover,NA,NA,NA,NA,NA,"No till, Straw cover",9,
Wang et al. 2008,10.1016/j.geoderma.2008.01.003,Traditional tillage,Straw removal,NA,NA,NA,NA,NA,"Traditional tillage, Straw removal",8,
Sainju et al. 2010,10.2134/agronj2010.0216,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,NA,NA,NA,NA,NA,NA,Continuous spring wheat,1,1
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,NA,NA,NA,NA,NA,NA,Spring wheat-fallow rotation,2,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,NA,NA,NA,NA,NA,NA,Winter wheat-fallow rotation,3,
Sainju et al. 2010,10.2134/agronj2010.0216,Chemical weed control,NA,NA,NA,NA,NA,NA,Chemical weed control,4,
Sainju et al. 2010,10.2134/agronj2010.0216,Tillage weed control,NA,NA,NA,NA,NA,NA,Tillage weed control,5,
Sainju et al. 2010,10.2134/agronj2010.0216,Sheep grazing weed control,NA,NA,NA,NA,NA,NA,Sheep grazing weed control,6,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Chemical weed control,NA,NA,NA,NA,NA,"Continuous spring wheat, Chemical weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Tillage weed control,NA,NA,NA,NA,NA,"Continuous spring wheat, Tillage weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Continuous spring wheat,Sheep grazing weed control,NA,NA,NA,NA,NA,"Continuous spring wheat, Sheep grazing weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Chemical weed control,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Chemical weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Tillage weed control,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Tillage weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Spring wheat-fallow rotation,Sheep grazing weed control,NA,NA,NA,NA,NA,"Spring wheat-fallow rotation, Sheep grazing weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Chemical weed control,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Chemical weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Tillage weed control,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Tillage weed control",,
Sainju et al. 2010,10.2134/agronj2010.0216,Winter wheat-fallow rotation,Sheep grazing weed control,NA,NA,NA,NA,NA,"Winter wheat-fallow rotation, Sheep grazing weed control",,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Molboard plow,NA,NA,NA,NA,NA,"No fertilizer control, Molboard plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Chisel plow,NA,NA,NA,NA,NA,"No fertilizer control, Chisel plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,Alternate,NA,NA,NA,NA,NA,"No fertilizer control, Alternate",,
Cook and Trlica 2016,10.2134/agronj2015.0397,No fertilizer control,No-till,NA,NA,NA,NA,NA,"No fertilizer control, No-till",,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Molboard plow,NA,NA,NA,NA,NA,"N-only, Molboard plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Chisel plow,NA,NA,NA,NA,NA,"N-only, Chisel plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,Alternate,NA,NA,NA,NA,NA,"N-only, Alternate",,
Cook and Trlica 2016,10.2134/agronj2015.0397,N-only,No-till,NA,NA,NA,NA,NA,"N-only, No-till",,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Molboard plow,NA,NA,NA,NA,NA,"NPK, Molboard plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Chisel plow,NA,NA,NA,NA,NA,"NPK, Chisel plow",,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,Alternate,NA,NA,NA,NA,NA,"NPK, Alternate",,
Cook and Trlica 2016,10.2134/agronj2015.0397,NPK,No-till,NA,NA,NA,NA,NA,"NPK, No-till",,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Summit landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Summit landscape position",,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Backslope landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Backslope landscape position",,
Yost et al. 2016,10.2134/agronj2015.0413,Beginning soil properties,Footslope landscape position,NA,NA,NA,NA,NA,"Beginning soil properties, Footslope landscape position",,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,NA,NA,NA,NA,NA,NA,NA,NA,,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Disk plow,NA,NA,NA,NA,NA,NA,Disk plow,2,
Ghimire et al. 2017,10.2134/agronj2016.08.0462,Subsurface sweep,NA,NA,NA,NA,NA,NA,Subsurface sweep,3,
Curtin et al. 2000,10.2136/sssaj2000.6462080x,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,,
Curtin et al. 2000,10.2136/sssaj2000.6462080x,No till,NA,NA,NA,NA,NA,NA,No till,,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,Control,NA,NA,NA,NA,NA,NA,Control,,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,Burnt,NA,NA,NA,NA,NA,NA,Burnt,,
Eckmeier et al. 2007,10.2136/sssaj2000.6462080x,1 year after burnt,NA,NA,NA,NA,NA,NA,1 year after burnt,,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"No till, 0 kg N ha-1, Residue harvest",1,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1, Residue harvest",3,1
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,0 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Chisel plow, 0 kg N ha-1, Residue harvest",2,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,0 kg N ha-1,Residue return,NA,NA,NA,NA,"No till, 0 kg N ha-1, Residue return",4,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,0 kg N ha-1,Residue return,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1, Residue return",6,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,0 kg N ha-1,Residue return,NA,NA,NA,NA,"Chisel plow, 0 kg N ha-1, Residue return",5,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"No till, 200 kg N ha-1, Residue harvest",7,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Moldboard plow, 200 kg N ha-1, Residue harvest",9,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,200 kg N ha-1,Residue harvest,NA,NA,NA,NA,"Chisel plow, 200 kg N ha-1, Residue harvest",8,
Allmaras et al. 2004,10.2136/sssaj2004.1366,No till,200 kg N ha-1,Residue return,NA,NA,NA,NA,"No till, 200 kg N ha-1, Residue return",10,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Moldboard plow,200 kg N ha-1,Residue return,NA,NA,NA,NA,"Moldboard plow, 200 kg N ha-1, Residue return",12,
Allmaras et al. 2004,10.2136/sssaj2004.1366,Chisel plow,200 kg N ha-1,Residue return,NA,NA,NA,NA,"Chisel plow, 200 kg N ha-1, Residue return",11,
Omonode et al. 2006,10.2136/sssaj2005.0083,No till,NA,NA,NA,NA,NA,NA,No till,,
Omonode et al. 2006,10.2136/sssaj2005.0083,"Moldboard plow 1980-1996, chisel plow 1997, no till 1998-2003",NA,NA,NA,NA,NA,NA,"Moldboard plow 1980-1996, chisel plow 1997, no till 1998-2003",,
Omonode et al. 2006,10.2136/sssaj2005.0083,"Moldboard plow 1980-1996, chisel plow 1997-2003",NA,NA,NA,NA,NA,NA,"Moldboard plow 1980-1996, chisel plow 1997-2003",,
Omonode et al. 2006,10.2136/sssaj2005.0083,Chisel plow,NA,NA,NA,NA,NA,NA,Chisel plow,,
Omonode et al. 2006,10.2136/sssaj2005.0083,Maize-maize rotation,NA,NA,NA,NA,NA,NA,Maize-maize rotation,,
Omonode et al. 2006,10.2136/sssaj2005.0083,Soybean-maize rotation,NA,NA,NA,NA,NA,NA,Soybean-maize rotation,,
Poirer et al. 2009,10.2136/sssaj2008.0006,Consistent soil properties,NA,NA,NA,NA,NA,NA,Consistent soil properties,,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,NA,NA,NA,NA,NA,NA,No till,,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,,
Poirer et al. 2009,10.2136/sssaj2008.0006,0 kg N ha-1,NA,NA,NA,NA,NA,NA,0 kg N ha-1,,
Poirer et al. 2009,10.2136/sssaj2008.0006,80 kg N ha-1,NA,NA,NA,NA,NA,NA,80 kg N ha-1,,
Poirer et al. 2009,10.2136/sssaj2008.0006,160 kg N ha-1,NA,NA,NA,NA,NA,NA,160 kg N ha-1,,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,0 kg N ha-1,NA,NA,NA,NA,NA,"No till, 0 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,80 kg N ha-1,NA,NA,NA,NA,NA,"No till, 80 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,No till,160 kg N ha-1,NA,NA,NA,NA,NA,"No till, 160 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,0 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 0 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,80 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 80 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,Moldboard plow,160 kg N ha-1,NA,NA,NA,NA,NA,"Moldboard plow, 160 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,0 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"0 kg P2O5 ha-1, 160 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,40 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"40 kg P2O5 ha-1, 160 kg N ha-1",,
Poirer et al. 2009,10.2136/sssaj2008.0006,80 kg P2O5 ha-1,160 kg N ha-1,NA,NA,NA,NA,NA,"80 kg P2O5 ha-1, 160 kg N ha-1",,
Watts et al. 2010,10.2136/sssaj2008.0415,No till,Inorganic fertilizer,NA,NA,NA,NA,NA,"No till, Inorganic fertilizer",,
Watts et al. 2010,10.2136/sssaj2008.0415,No till,Poultry litter,NA,NA,NA,NA,NA,"No till, Poultry litter",,
Watts et al. 2010,10.2136/sssaj2008.0415,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,NA,"Conventional tillage, Inorganic fertilizer",,
Watts et al. 2010,10.2136/sssaj2008.0415,Conventional tillage,Poultry litter,NA,NA,NA,NA,NA,"Conventional tillage, Poultry litter",,
Halpern et al. 2010,10.2136/sssaj2009.0406,No till,High residue input,NA,NA,NA,NA,NA,"No till, High residue input",6,
Halpern et al. 2010,10.2136/sssaj2009.0406,No till,Low residue input,NA,NA,NA,NA,NA,"No till, Low residue input",5,
Halpern et al. 2010,10.2136/sssaj2009.0406,Reduced tillage,High residue input,NA,NA,NA,NA,NA,"Reduced tillage, High residue input",4,
Halpern et al. 2010,10.2136/sssaj2009.0406,Reduced tillage,Low residue input,NA,NA,NA,NA,NA,"Reduced tillage, Low residue input",3,
Halpern et al. 2010,10.2136/sssaj2009.0406,Conventional tillage,High residue input,NA,NA,NA,NA,NA,"Conventional tillage, High residue input",2,
Halpern et al. 2010,10.2136/sssaj2009.0406,Conventional tillage,Low residue input,NA,NA,NA,NA,NA,"Conventional tillage, Low residue input",1,1
Kumar et al. 2012,10.2136/sssaj2012.0055,Plow tillage,NA,NA,NA,NA,NA,NA,Plow tillage,1,1
Kumar et al. 2012,10.2136/sssaj2012.0055,Minimum tillage,NA,NA,NA,NA,NA,NA,Minimum tillage,2,
Kumar et al. 2012,10.2136/sssaj2012.0055,No till,NA,NA,NA,NA,NA,NA,No till,3,
Kumar et al. 2012,10.2136/sssaj2012.0055,Woodlot area (undisturbed soil),NA,NA,NA,NA,NA,NA,Woodlot area (undisturbed soil),0,
Kumar et al. 2012,10.2136/sssaj2012.0055,Continuous corn,NA,NA,NA,NA,NA,NA,Continuous corn,4,
Kumar et al. 2012,10.2136/sssaj2012.0055,Corn-soybean rotation,NA,NA,NA,NA,NA,NA,Corn-soybean rotation,5,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Disk tillage,No stover removal,NA,NA,NA,NA,NA,"Disk tillage, No stover removal",2,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Disk tillage,Medium stover removal,NA,NA,NA,NA,NA,"Disk tillage, Medium stover removal",3,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,Disk tillage,High stover removal,NA,NA,NA,NA,NA,"Disk tillage, High stover removal",1,1
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,No stover removal,NA,NA,NA,NA,NA,"No till, No stover removal",4,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,Medium stover removal,NA,NA,NA,NA,NA,"No till, Medium stover removal",5,
Schmer et al. 2014,10.2136/sssaj2014.04.0166,No till,High stover removal,NA,NA,NA,NA,NA,"No till, High stover removal",6,
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Continuous cotton,Conventional tillage,NA,NA,NA,NA,NA,"Continuous cotton, Conventional tillage",1,1
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Continuous cotton,Minimum tillage,NA,NA,NA,NA,NA,"Continuous cotton, Minimum tillage",2,
Senapati et al. 2014,10.2136/sssaj2014.04.0166,Cotton-wheat rotation,Minimum tillage,NA,NA,NA,NA,NA,"Cotton-wheat rotation, Minimum tillage",3,
Booher et al. 2012,10.3958/059.037.0103,Control,NA,NA,NA,NA,NA,NA,Control,1,1
Booher et al. 2012,10.3958/059.037.0103,"Beef manure, 168 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Beef manure, 168 kg N ha-1 yr-1",2,
Booher et al. 2012,10.3958/059.037.0103,"Beef manure, 504 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Beef manure, 504 kg N ha-1 yr-1",3,
Booher et al. 2012,10.3958/059.037.0103,"Swine effluent, 168 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Swine effluent, 168 kg N ha-1 yr-1",4,
Booher et al. 2012,10.3958/059.037.0103,"Swine effluent, 504 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Swine effluent, 504 kg N ha-1 yr-1",5,
Booher et al. 2012,10.3958/059.037.0103,"Anhyrdous ammonia, 168 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Anhyrdous ammonia, 168 kg N ha-1 yr-1",6,
Booher et al. 2012,10.3958/059.037.0103,"Anhyrdous ammonia, 504 kg N ha-1 yr-1",NA,NA,NA,NA,NA,NA,"Anhyrdous ammonia, 504 kg N ha-1 yr-1",7,
Sommer et al. 2014,10.4236/ojss.2014.43015,B4 trial,Conventional tillage and zero tillage,NA,NA,NA,NA,NA,"B4 trial, Conventional tillage and zero tillage",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B7 trial,Plus/minus N fertilizer application,NA,NA,NA,NA,NA,"B7 trial, Plus/minus N fertilizer application",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Conventional tillage and zero tillage,Residue retained and residue partly removed,NA,NA,NA,NA,"C16 trial, Conventional tillage and zero tillage, Residue retained and residue partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B7 trial,N fertilizer applied,Residue retained and residue partly removed,NA,NA,NA,NA,"B7 trial, N fertilizer applied, Residue retained and residue partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B7 trial,No N fertilizer applied,Residue retained and residue partly removed,NA,NA,NA,NA,"B7 trial, No N fertilizer applied, Residue retained and residue partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Conventional tillage,Early planting,Residues partly removed,NA,NA,NA,"C16 trial, Conventional tillage, Early planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,No till,Early planting,Residues partly removed,NA,NA,NA,"C16 trial, No till, Early planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 1,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 1, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 1,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 1, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 2,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 2, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 2,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 2, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 3,Conventional tillage,Late planting,Residues partly removed,NA,NA,"C16 trial, Block 3, Conventional tillage, Late planting, Residues partly removed",,
Sommer et al. 2014,10.4236/ojss.2014.43015,C16 trial,Block 3,No till,Early planting,Residues retained,NA,NA,"C16 trial, Block 3, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B4 trial,Conventional tillage,No till,Early planting,Residues retained,NA,NA,"B4 trial, Conventional tillage, No till, Early planting, Residues retained",,
Sommer et al. 2014,10.4236/ojss.2014.43015,B4 trial,No till,No till,Early planting,Residues retained,NA,NA,"B4 trial, No till, No till, Early planting, Residues retained",,
